P18,P20,P21,P22,P23A,P23B,P24_num,P25,P27,P28,P15_bin
Mujer,59,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,Trabajador Independiente,6.0,P.C.E.,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,42,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,4.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,63,Estudios de grado medio,Católico no practicante,,Profesional Liberal,4.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,52,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Personal manual de servicios no cualificados,,3.0,Otros,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,22,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,,3.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,67,Estudios primarios completos. cultural general,Católico no practicante,Funcionarios de nivel medio,,9.0,Otros,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,49,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,"Vendedores, Agentes Comerciales, etc...",,,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,68,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Peones y obreros sin cualificar,,3.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,58,Estudios primarios completos. cultural general,Católico no practicante,"Director de empresa, directivos",,4.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,23,Universitario o técnicos de grado superior,Católico no practicante,,Industrial comercial,,Otros,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,35,Bachiller elemental,Católico practicante,,Industrial comercial,,Otros,Área de Barcelona,Más de 1.000.000 habitantes,0.0
Mujer,57,Estudios primarios completos. cultural general,Católico practicante,,,,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,22,Universitario o técnicos de grado superior,Católico no practicante,Funcionarios de nivel medio,,9.0,Otros,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,40,Estudios de formación profesional,Católico no practicante,"Vendedores, Agentes Comerciales, etc...",,,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,22,Estudios de formación profesional,Católico practicante,Funcionarios de nivel medio,,6.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,0.0
Hombre,32,Universitario o técnicos de grado superior,No creyente,Funcionarios de nivel medio,,5.0,Otros,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,42,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,,,,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,66,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,Industrial comercial,4.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,29,Universitario o técnicos de grado superior,Católico no practicante,,Industrial comercial,7.0,U.C.D,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,73,Estudios primarios completos. cultural general,Católico practicante,,,5.0,U.C.D,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,52,Bachiller superior,Católico no practicante,Funcionarios de nivel medio,,6.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,23,Bachiller superior,Católico no practicante,Funcionarios de nivel medio,,8.0,Otros,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,61,Bachiller elemental,Católico no practicante,"Capataces, encargados, contramaestres",,,Otros,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,22,Universitario o técnicos de grado superior,No creyente,Funcionarios de nivel medio,,9.0,P.C.E.,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,19,Universitario o técnicos de grado superior,Indiferente,Funcionarios de nivel medio,,9.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,48,Bachiller superior,Católico practicante,Empleados a nivel superior,Industrial comercial,,,Área de Barcelona,Más de 1.000.000 habitantes,0.0
Hombre,21,Universitario o técnicos de grado superior,Católico practicante,Funcionarios de nivel medio,,9.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,25,Universitario o técnicos de grado superior,No creyente,Funcionarios de nivel medio,,9.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,0.0
Mujer,42,"Menos de estudios primarios, no sabe leer",Católico practicante,Empleados subalternos,,4.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,28,Bachiller superior,Católico no practicante,"Director de empresa, directivos",,6.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,61,Estudios de formación profesional,Católico practicante,Empleados subalternos,,5.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,20,Universitario o técnicos de grado superior,No creyente,Funcionarios de nivel medio,,7.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,0.0
Mujer,52,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Empleados subalternos,,,No votó,Área de Barcelona,Más de 1.000.000 habitantes,0.0
Mujer,49,Bachiller superior,,Funcionarios de nivel medio,,6.0,P.S.O.E,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,48,Bachiller elemental,No creyente,Funcionarios de nivel medio,,,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,20,Bachiller elemental,No creyente,Funcionarios de nivel medio,Empresario Industrial,5.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,30,Bachiller superior,Católico no practicante,,,,,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,66,Universitario o técnicos de grado superior,Católico practicante,,,,U.C.D,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,34,Estudios primarios completos. cultural general,Católico no practicante,Funcionarios de nivel medio,,7.0,U.C.D,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,19,Universitario o técnicos de grado superior,Católico no practicante,Funcionarios de nivel medio,,,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Hombre,22,Bachiller superior,Indiferente,,,6.0,No votó,Área de Barcelona,Más de 1.000.000 habitantes,1.0
Mujer,58,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,,7.0,,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Hombre,25,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Peones y obreros sin cualificar,Industrial comercial,4.0,D.C,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Mujer,26,Bachiller elemental,No creyente,Funcionarios de nivel medio,,7.0,P.S.O.E,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Hombre,35,"Menos de estudios primarios, no sabe leer",Indiferente,Obreros cualificados,,6.0,P.S.O.E,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Mujer,41,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Personal manual de servicios no cualificados,,3.0,P.S.O.E,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Hombre,26,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,,4.0,P.S.O.E,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Mujer,46,Estudios primarios completos. cultural general,Católico no practicante,,,4.0,No votó,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Hombre,20,Estudios de grado medio,Católico no practicante,Funcionarios de nivel medio,,7.0,P.C.E.,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Hombre,76,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,Trabajador Independiente,3.0,P.S.O.E,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Mujer,31,Estudios primarios completos. cultural general,Católico practicante,Personal manual de servicios no cualificados,,5.0,Otros,Área de Barcelona,100.001 a 400.000 habitantes,1.0
Hombre,24,Universitario o técnicos de grado superior,No creyente,Obreros cualificados,,6.0,No votó,Área de Barcelona,10.001 a 50.000 habitantes,1.0
Hombre,24,Estudios de grado medio,Católico no practicante,Obreros cualificados,,7.0,No votó,Área de Barcelona,10.001 a 50.000 habitantes,1.0
Mujer,54,Estudios de grado medio,Católico practicante,Funcionarios de nivel medio,,5.0,No votó,Área de Barcelona,10.001 a 50.000 habitantes,1.0
Hombre,20,Estudios de grado medio,Católico no practicante,Funcionarios de nivel medio,,4.0,U.C.D,Área de Barcelona,10.001 a 50.000 habitantes,1.0
Mujer,56,Bachiller superior,Católico practicante,"Vendedores, Agentes Comerciales, etc...",,6.0,,Área de Barcelona,10.001 a 50.000 habitantes,1.0
Hombre,31,"Menos de estudios primarios, no sabe leer",Católico no practicante,,Trabajador Independiente,9.0,P.S.O.E,Área de Barcelona,10.001 a 50.000 habitantes,1.0
Hombre,41,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,6.0,,Área de Barcelona,10.001 a 50.000 habitantes,1.0
Mujer,41,Estudios primarios completos. cultural general,Católico no practicante,,Industrial comercial,,,Área de Barcelona,2.001 a 10.000 habitantes,1.0
Hombre,29,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Empleados subalternos,,6.0,P.S.O.E,Área de Barcelona,2.001 a 10.000 habitantes,1.0
Hombre,60,Bachiller superior,No creyente,Funcionarios de nivel medio,,5.0,,Área de Barcelona,2.001 a 10.000 habitantes,1.0
Mujer,34,Universitario o técnicos de grado superior,,,Profesional Liberal,9.0,Otros,Área de Barcelona,2.001 a 10.000 habitantes,1.0
Mujer,25,Estudios de grado medio,Católico no practicante,,Trabajador Independiente,9.0,P.S.O.E,Área de Barcelona,2.001 a 10.000 habitantes,1.0
Hombre,32,"Menos de estudios primarios, no sabe leer",Católico no practicante,Personal manual de servicios no cualificados,,7.0,No votó,Área de Barcelona,2.001 a 10.000 habitantes,1.0
Hombre,18,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Peones y obreros sin cualificar,,3.0,U.C.D,Área de Barcelona,50.001 a 100.000 habitantes,0.0
Mujer,70,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,,,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,0.0
Hombre,54,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,Empresario Industrial,,,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Mujer,53,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Peones y obreros sin cualificar,,,,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,0.0
Mujer,50,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,,No votó,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Hombre,23,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,,7.0,P.S.O.E,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Mujer,71,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,3.0,P.S.O.E,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Hombre,69,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,"Vendedores, Agentes Comerciales, etc...",,6.0,No votó,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Mujer,28,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,3.0,P.S.O.E,Cataluña/Islas Baleares,Menos o igual a 2.000 habitantes,1.0
Hombre,53,Estudios primarios completos. cultural general,Católico practicante,Peones y obreros sin cualificar,,6.0,U.C.D,Cataluña/Islas Baleares,Menos o igual a 2.000 habitantes,1.0
Mujer,27,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,Industrial comercial,8.0,P.S.O.E,Cataluña/Islas Baleares,Menos o igual a 2.000 habitantes,1.0
Mujer,40,Estudios primarios completos. cultural general,Católico no practicante,,Empresario Industrial,,,Cataluña/Islas Baleares,Menos o igual a 2.000 habitantes,0.0
Hombre,45,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Indiferente,,Trabajador Independiente,5.0,P.C.E.,Cataluña/Islas Baleares,Menos o igual a 2.000 habitantes,1.0
Hombre,51,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Peones y obreros sin cualificar,,,P.S.O.E,Cataluña/Islas Baleares,Menos o igual a 2.000 habitantes,1.0
Mujer,23,Estudios primarios completos. cultural general,Indiferente,,Agricultor/Propietario,6.0,No votó,Cataluña/Islas Baleares,Menos o igual a 2.000 habitantes,1.0
Mujer,54,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Obreros cualificados,,6.0,U.C.D,Cataluña/Islas Baleares,Menos o igual a 2.000 habitantes,1.0
Hombre,27,Estudios primarios completos. cultural general,Católico practicante,,Industrial comercial,7.0,,Cataluña/Islas Baleares,Menos o igual a 2.000 habitantes,1.0
Mujer,49,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel medio,,,,Cataluña/Islas Baleares,Menos o igual a 2.000 habitantes,1.0
Hombre,33,Estudios primarios completos. cultural general,Católico no practicante,Peones y obreros sin cualificar,,,P.S.O.E,Cataluña/Islas Baleares,50.001 a 100.000 habitantes,1.0
Mujer,21,Estudios de grado medio,Católico practicante,Empleados subalternos,,3.0,P.S.O.E,Cataluña/Islas Baleares,50.001 a 100.000 habitantes,1.0
Mujer,78,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,7.0,U.C.D,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Mujer,23,Universitario o técnicos de grado superior,Católico practicante,,Trabajador Independiente,2.0,U.C.D,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Hombre,45,Estudios primarios completos. cultural general,Indiferente,"Capataces, encargados, contramaestres",,7.0,P.D.C,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Hombre,58,"Menos de estudios primarios, no sabe leer",Católico practicante,,Trabajador Independiente,,U.C.D,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Hombre,59,Bachiller superior,Católico no practicante,Obreros cualificados,,7.0,No votó,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Mujer,19,Estudios primarios completos. cultural general,Otras religiones,"Vendedores, Agentes Comerciales, etc...",,7.0,D.C,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Mujer,40,Estudios de grado medio,Católico practicante,,Profesional Liberal,7.0,No votó,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,0.0
Mujer,34,Estudios primarios completos. cultural general,Católico no practicante,,Empresario Industrial,6.0,P.D.C,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Hombre,72,Bachiller superior,Católico practicante,,Industrial comercial,5.0,No votó,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Mujer,20,Estudios primarios completos. cultural general,Católico no practicante,,,1.0,P.S.P,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Mujer,77,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,,5.0,U.C.D,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Mujer,48,Bachiller elemental,Católico practicante,Personal manual de servicios no cualificados,,3.0,No votó,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Hombre,68,Universitario o técnicos de grado superior,Católico no practicante,Empleados a nivel superior,,7.0,,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Mujer,67,Estudios primarios completos. cultural general,Católico practicante,,,7.0,F.D.C.,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Mujer,50,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Personal manual de servicios no cualificados,Industrial comercial,4.0,P.S.O.E,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Mujer,60,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Empleados subalternos,,4.0,,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Hombre,25,Bachiller elemental,No creyente,Personal manual de servicios no cualificados,,3.0,No votó,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Hombre,60,Estudios primarios completos. cultural general,Católico practicante,,,4.0,No votó,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Hombre,72,Estudios primarios completos. cultural general,No creyente,,,7.0,U.C.D,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Hombre,39,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,2.0,P.S.O.E,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Mujer,68,Bachiller superior,Católico no practicante,Peones y obreros sin cualificar,,6.0,F.D.I.,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Mujer,47,Estudios primarios completos. cultural general,Católico no practicante,Funcionarios de nivel medio,,,P.S.O.E,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Hombre,22,"Menos de estudios primarios, no sabe leer",Católico no practicante,,Industrial comercial,6.0,U.C.D,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Hombre,41,Estudios primarios completos. cultural general,Católico no practicante,Jornaleros del campo,Industrial comercial,4.0,No votó,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Hombre,56,"Menos de estudios primarios, no sabe leer",No creyente,Personal manual de servicios no cualificados,,2.0,P.S.O.E,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Mujer,35,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,4.0,U.C.D,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Mujer,47,Estudios de grado medio,Católico no practicante,,,3.0,,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Hombre,45,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel medio,,4.0,U.C.D,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Mujer,64,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Jornaleros del campo,,,No votó,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Hombre,65,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,5.0,U.C.D,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Mujer,46,Estudios primarios completos. cultural general,Católico no practicante,,Agricultor/Propietario,4.0,No votó,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,51,"Menos de estudios primarios, no sabe leer",No creyente,,,5.0,U.C.D,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,62,"Menos de estudios primarios, no sabe leer",Católico no practicante,Obreros cualificados,,8.0,U.C.D,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Mujer,18,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,2.0,U.C.D,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,42,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Jornaleros del campo,,3.0,P.S.O.E,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,42,Estudios de grado medio,Católico no practicante,,,3.0,P.S.O.E,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Mujer,21,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,,8.0,No votó,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Mujer,27,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Jornaleros del campo,,,P.S.O.E,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,20,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Peones y obreros sin cualificar,,,P.S.O.E,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,27,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,4.0,P.S.O.E,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Mujer,25,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,5.0,U.C.D,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Hombre,31,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,1.0,U.C.D,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Mujer,35,"Menos de estudios primarios, no sabe leer",Católico no practicante,Jornaleros del campo,,4.0,U.C.D,Levante y Murcia,Menos o igual a 2.000 habitantes,1.0
Hombre,35,Estudios primarios completos. cultural general,Católico practicante,,Profesional Liberal,5.0,P.S.O.E,Levante y Murcia,Menos o igual a 2.000 habitantes,1.0
Mujer,40,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,Industrial comercial,2.0,U.C.D,Levante y Murcia,Menos o igual a 2.000 habitantes,1.0
Hombre,53,Estudios de grado medio,Católico practicante,Funcionarios de nivel medio,,3.0,U.C.D,Levante y Murcia,Menos o igual a 2.000 habitantes,1.0
Mujer,63,Estudios primarios completos. cultural general,Católico no practicante,"Vendedores, Agentes Comerciales, etc...",,,,Levante y Murcia,100.001 a 400.000 habitantes,1.0
Mujer,30,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,N.C,,7.0,P.S.O.E,Levante y Murcia,100.001 a 400.000 habitantes,0.0
