P18,P20,P21,P22,P23A,P23B,P24_num,P25,P27,P28,P15_bin
Mujer,43,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,,U.C.D,Levante y Murcia,100.001 a 400.000 habitantes,1.0
Mujer,26,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,,6.0,No votó,Levante y Murcia,100.001 a 400.000 habitantes,1.0
Hombre,23,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Indiferente,Peones y obreros sin cualificar,,4.0,P.S.O.E,Levante y Murcia,100.001 a 400.000 habitantes,1.0
Mujer,18,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Empleados subalternos,,4.0,U.C.D,Levante y Murcia,100.001 a 400.000 habitantes,1.0
Hombre,32,Estudios de grado medio,Católico practicante,Funcionarios de nivel medio,,5.0,P.S.O.E,Levante y Murcia,100.001 a 400.000 habitantes,1.0
Hombre,28,"Menos de estudios primarios, no sabe leer",Católico practicante,,,5.0,,Levante y Murcia,100.001 a 400.000 habitantes,1.0
Hombre,33,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,6.0,No votó,Levante y Murcia,50.001 a 100.000 habitantes,1.0
Mujer,39,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,,U.C.D,Levante y Murcia,50.001 a 100.000 habitantes,1.0
Hombre,57,Estudios primarios completos. cultural general,Católico practicante,,,5.0,U.C.D,Levante y Murcia,50.001 a 100.000 habitantes,1.0
Hombre,64,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Personal manual de servicios no cualificados,Industrial comercial,,P.S.O.E,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,32,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,4.0,P.S.O.E,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,69,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Jornaleros del campo,,5.0,,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,27,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,,2.0,,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Mujer,55,Bachiller elemental,,Obreros cualificados,,2.0,U.C.D,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Mujer,58,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,5.0,U.C.D,Cataluña/Islas Baleares,100.001 a 400.000 habitantes,1.0
Hombre,70,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,Agricultor/Propietario,5.0,U.C.D,Cataluña/Islas Baleares,100.001 a 400.000 habitantes,1.0
Hombre,19,Estudios primarios completos. cultural general,Católico no practicante,,,4.0,U.C.D,Cataluña/Islas Baleares,100.001 a 400.000 habitantes,1.0
Mujer,24,Estudios de grado medio,Católico practicante,Funcionarios de nivel medio,Agricultor/Propietario,3.0,U.C.D,Cataluña/Islas Baleares,100.001 a 400.000 habitantes,1.0
Hombre,62,"Menos de estudios primarios, no sabe leer",Católico practicante,,,,,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Hombre,22,"Menos de estudios primarios, no sabe leer",Católico practicante,Obreros cualificados,,6.0,P.S.P,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Hombre,40,Estudios primarios completos. cultural general,Católico practicante,Obreros cualificados,,2.0,U.C.D,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,0.0
Mujer,72,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,,U.C.D,Cataluña/Islas Baleares,2.001 a 10.000 habitantes,1.0
Hombre,36,Bachiller superior,Católico no practicante,Jornaleros del campo,,6.0,No votó,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Hombre,32,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Jornaleros del campo,,4.0,No votó,Andalucía Oriental,2.001 a 10.000 habitantes,0.0
Hombre,43,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Jornaleros del campo,,3.0,U.C.D,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Hombre,21,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Peones y obreros sin cualificar,,2.0,U.C.D,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Mujer,44,Estudios primarios completos. cultural general,Católico practicante,,,3.0,No votó,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Hombre,52,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,Agricultor/Propietario,4.0,,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Hombre,20,Estudios primarios completos. cultural general,Católico practicante,,Industrial comercial,5.0,No votó,Andalucía Oriental,2.001 a 10.000 habitantes,0.0
Hombre,20,Bachiller superior,Católico practicante,,,4.0,P.S.O.E,Andalucía Oriental,2.001 a 10.000 habitantes,0.0
Mujer,38,Estudios primarios completos. cultural general,Católico no practicante,Funcionarios de nivel medio,,4.0,P.S.O.E,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Hombre,39,Bachiller elemental,Católico no practicante,Funcionarios de nivel medio,,5.0,U.C.D,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Hombre,60,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Jornaleros del campo,,4.0,P.S.O.E,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Mujer,63,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,,4.0,U.C.D,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Mujer,37,Estudios primarios completos. cultural general,Católico practicante,,,4.0,P.S.O.E,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Hombre,53,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Personal manual de servicios no cualificados,,3.0,U.C.D,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Hombre,71,"Menos de estudios primarios, no sabe leer",Católico practicante,Jornaleros del campo,,2.0,U.C.D,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Hombre,32,Estudios primarios completos. cultural general,Católico practicante,,,2.0,,Andalucía Oriental,Menos o igual a 2.000 habitantes,1.0
Mujer,36,"Menos de estudios primarios, no sabe leer",Católico no practicante,Jornaleros del campo,,4.0,U.C.D,Andalucía Oriental,Menos o igual a 2.000 habitantes,1.0
Hombre,65,Estudios primarios completos. cultural general,Católico no practicante,Personal manual de servicios no cualificados,,3.0,U.C.D,Andalucía Oriental,Menos o igual a 2.000 habitantes,1.0
Hombre,42,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Peones y obreros sin cualificar,,3.0,U.C.D,Andalucía Oriental,Menos o igual a 2.000 habitantes,1.0
Hombre,57,Estudios primarios completos. cultural general,Católico practicante,Personal manual de servicios no cualificados,,3.0,P.S.O.E,Andalucía Oriental,50.001 a 100.000 habitantes,1.0
Mujer,18,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel alto (titulación superior),,5.0,U.C.D,Andalucía Oriental,50.001 a 100.000 habitantes,1.0
Mujer,24,Estudios primarios completos. cultural general,Indiferente,"Vendedores, Agentes Comerciales, etc...",,6.0,P.S.O.E,Andalucía Oriental,50.001 a 100.000 habitantes,1.0
Hombre,56,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Personal manual de servicios no cualificados,,5.0,,Andalucía Oriental,50.001 a 100.000 habitantes,1.0
Mujer,68,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,3.0,U.C.D,Andalucía Oriental,50.001 a 100.000 habitantes,1.0
Hombre,34,Bachiller superior,Católico practicante,Peones y obreros sin cualificar,,2.0,P.S.O.E,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Hombre,45,Estudios primarios completos. cultural general,Católico practicante,Jornaleros del campo,,3.0,P.S.O.E,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Hombre,19,"Menos de estudios primarios, no sabe leer",Católico practicante,Personal manual de servicios no cualificados,,4.0,P.S.O.E,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Hombre,52,"Menos de estudios primarios, no sabe leer",Católico practicante,Obreros cualificados,,4.0,U.C.D,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Mujer,40,Estudios de grado medio,Católico practicante,,,4.0,No votó,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Mujer,40,"Menos de estudios primarios, no sabe leer",Católico no practicante,Obreros cualificados,,3.0,U.C.D,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Hombre,54,"Menos de estudios primarios, no sabe leer",Católico practicante,Personal manual de servicios no cualificados,,3.0,P.S.O.E,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Mujer,37,Estudios primarios completos. cultural general,Católico practicante,Obreros cualificados,Industrial comercial,7.0,P.S.O.E,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Mujer,27,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,3.0,U.C.D,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Hombre,66,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,3.0,F.D.C.,Andalucía Oriental,2.001 a 10.000 habitantes,1.0
Mujer,63,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Empleados a nivel superior,,5.0,No votó,Andalucía Oriental,100.001 a 400.000 habitantes,1.0
Mujer,65,Estudios primarios completos. cultural general,Católico no practicante,Funcionarios de nivel medio,,3.0,P.S.O.E,Andalucía Oriental,100.001 a 400.000 habitantes,1.0
Hombre,45,"Menos de estudios primarios, no sabe leer",Católico no practicante,Personal manual de servicios no cualificados,,7.0,P.S.O.E,Andalucía Oriental,100.001 a 400.000 habitantes,1.0
Hombre,53,"Menos de estudios primarios, no sabe leer",Católico practicante,Personal manual de servicios no cualificados,,4.0,U.C.D,Andalucía Oriental,100.001 a 400.000 habitantes,1.0
Hombre,31,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel alto (titulación superior),,2.0,U.C.D,Andalucía Oriental,100.001 a 400.000 habitantes,1.0
Mujer,28,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,3.0,,Andalucía Oriental,100.001 a 400.000 habitantes,1.0
Hombre,59,Estudios primarios completos. cultural general,Católico no practicante,,,4.0,,Andalucía Oriental,100.001 a 400.000 habitantes,1.0
Hombre,36,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel alto (titulación superior),,5.0,P.S.P,Andalucía Oriental,100.001 a 400.000 habitantes,0.0
Hombre,67,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,,Industrial comercial,9.0,No votó,Andalucía Oriental,100.001 a 400.000 habitantes,1.0
Hombre,54,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,Industrial comercial,4.0,P.S.O.E,Andalucía Oriental,100.001 a 400.000 habitantes,1.0
Mujer,56,Estudios primarios completos. cultural general,Católico no practicante,Funcionarios de nivel medio,,4.0,P.S.O.E,Andalucía Oriental,100.001 a 400.000 habitantes,1.0
Hombre,22,Bachiller elemental,Católico practicante,Empleados subalternos,,4.0,U.C.D,Andalucía Oriental,100.001 a 400.000 habitantes,1.0
Mujer,33,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,Industrial comercial,4.0,,Andalucía Oriental,100.001 a 400.000 habitantes,0.0
Mujer,59,Estudios de grado medio,Católico practicante,"Vendedores, Agentes Comerciales, etc...",Industrial comercial,7.0,U.C.D,Andalucía Oriental,100.001 a 400.000 habitantes,1.0
Hombre,45,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Jornaleros del campo,Agricultor/Propietario,4.0,P.S.O.E,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Hombre,47,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel medio,,4.0,P.S.O.E,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Mujer,34,Estudios primarios completos. cultural general,Católico practicante,Obreros cualificados,,3.0,P.S.O.E,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Hombre,42,Estudios primarios completos. cultural general,Católico no practicante,"Director de empresa, directivos",,3.0,U.C.D,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Hombre,62,Estudios primarios completos. cultural general,Católico practicante,Obreros cualificados,,4.0,No votó,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Mujer,18,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Personal manual de servicios no cualificados,,4.0,U.C.D,Andalucía Oriental,10.001 a 50.000 habitantes,1.0
Hombre,53,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,4.0,,Andalucía Occidental,Menos o igual a 2.000 habitantes,1.0
Mujer,26,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Peones y obreros sin cualificar,,2.0,U.C.D,Andalucía Occidental,Menos o igual a 2.000 habitantes,1.0
Mujer,42,Estudios primarios completos. cultural general,Católico practicante,Empleados subalternos,Trabajador Independiente,2.0,No votó,Andalucía Occidental,Menos o igual a 2.000 habitantes,1.0
Mujer,47,Bachiller elemental,Indiferente,,Trabajador Independiente,7.0,U.C.D,Andalucía Occidental,Menos o igual a 2.000 habitantes,1.0
Hombre,25,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,4.0,U.C.D,Andalucía Occidental,Menos o igual a 2.000 habitantes,1.0
Hombre,64,"Menos de estudios primarios, no sabe leer",Católico practicante,"Vendedores, Agentes Comerciales, etc...",,1.0,P.S.O.E,Andalucía Occidental,Menos o igual a 2.000 habitantes,1.0
Hombre,26,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,4.0,,Andalucía Occidental,Menos o igual a 2.000 habitantes,1.0
Mujer,58,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,Profesional Liberal,5.0,,Andalucía Occidental,100.001 a 400.000 habitantes,1.0
Hombre,56,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Obreros cualificados,,6.0,P.S.O.E,Andalucía Occidental,400.001 a 1.000.000 habitantes,1.0
Hombre,40,Estudios primarios completos. cultural general,Católico practicante,Empleados subalternos,,6.0,U.C.D,Andalucía Occidental,400.001 a 1.000.000 habitantes,1.0
Hombre,60,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,3.0,P.S.O.E,Andalucía Occidental,400.001 a 1.000.000 habitantes,1.0
Hombre,47,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,5.0,P.S.O.E,Andalucía Occidental,400.001 a 1.000.000 habitantes,1.0
Hombre,65,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Funcionarios de nivel medio,,3.0,P.S.O.E,Andalucía Occidental,400.001 a 1.000.000 habitantes,1.0
Hombre,19,"Menos de estudios primarios, no sabe leer",Católico no practicante,,,5.0,P.S.O.E,Andalucía Occidental,400.001 a 1.000.000 habitantes,1.0
Hombre,50,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel medio,,4.0,No votó,Andalucía Occidental,400.001 a 1.000.000 habitantes,1.0
Hombre,37,Bachiller elemental,Católico practicante,,,3.0,U.C.D,Andalucía Occidental,400.001 a 1.000.000 habitantes,1.0
Mujer,53,Bachiller elemental,Católico no practicante,Obreros cualificados,,4.0,U.C.D,Castilla la Nueva y Extremadura,100.001 a 400.000 habitantes,1.0
Hombre,29,Bachiller superior,Católico no practicante,Jornaleros del campo,Agricultor/Propietario,7.0,No votó,Castilla la Nueva y Extremadura,100.001 a 400.000 habitantes,1.0
Mujer,23,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,5.0,No votó,Castilla la Nueva y Extremadura,100.001 a 400.000 habitantes,1.0
Hombre,51,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,7.0,U.C.D,Castilla la Nueva y Extremadura,100.001 a 400.000 habitantes,1.0
Hombre,26,"Menos de estudios primarios, no sabe leer",Católico practicante,Funcionarios de nivel medio,,,No votó,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Mujer,54,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Oficiales de las Fuerzas Armadas,,4.0,U.C.D,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Hombre,53,Bachiller elemental,Católico practicante,Obreros cualificados,Agricultor/Propietario,4.0,U.C.D,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Hombre,35,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Indiferente,,,4.0,U.C.D,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Hombre,77,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Suboficiales de las Fuerzas Armadas,,5.0,No votó,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Hombre,40,Universitario o técnicos de grado superior,Católico practicante,"Capataces, encargados, contramaestres",,4.0,U.C.D,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Hombre,58,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,,6.0,P.S.P,Andalucía Occidental,50.001 a 100.000 habitantes,1.0
Hombre,40,Bachiller superior,Católico practicante,,,5.0,U.C.D,Andalucía Occidental,50.001 a 100.000 habitantes,1.0
Mujer,58,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,4.0,No votó,Andalucía Occidental,50.001 a 100.000 habitantes,1.0
Hombre,21,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel medio,,5.0,U.C.D,Andalucía Occidental,50.001 a 100.000 habitantes,1.0
Mujer,45,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Peones y obreros sin cualificar,,2.0,P.S.O.E,Andalucía Occidental,50.001 a 100.000 habitantes,1.0
Hombre,60,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,1.0,P.S.O.E,Andalucía Occidental,50.001 a 100.000 habitantes,1.0
Mujer,33,Estudios primarios completos. cultural general,Católico no practicante,Peones y obreros sin cualificar,,5.0,No votó,Andalucía Occidental,10.001 a 50.000 habitantes,0.0
Hombre,24,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel medio,Industrial comercial,5.0,P.S.O.E,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
Hombre,39,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Peones y obreros sin cualificar,,5.0,P.C.E.,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
Hombre,74,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Jornaleros del campo,,5.0,P.S.O.E,Andalucía Occidental,10.001 a 50.000 habitantes,0.0
Mujer,66,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Jornaleros del campo,,4.0,P.C.E.,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
Mujer,49,Bachiller elemental,Católico practicante,Empleados subalternos,,4.0,No votó,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
Hombre,76,Estudios primarios completos. cultural general,Católico practicante,Jornaleros del campo,,5.0,P.S.O.E,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
Hombre,52,"Menos de estudios primarios, no sabe leer",Indiferente,Obreros cualificados,,4.0,U.C.D,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
Mujer,52,Bachiller superior,Católico no practicante,,,3.0,,Andalucía Occidental,2.001 a 10.000 habitantes,1.0
Hombre,45,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Jornaleros del campo,,2.0,P.S.O.E,Andalucía Occidental,2.001 a 10.000 habitantes,1.0
Mujer,44,"Menos de estudios primarios, no sabe leer",Católico practicante,,,5.0,U.C.D,Andalucía Occidental,2.001 a 10.000 habitantes,1.0
Mujer,53,Bachiller superior,No creyente,Obreros cualificados,,4.0,P.S.O.E,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
Hombre,55,"Menos de estudios primarios, no sabe leer",Católico practicante,,Profesional Liberal,5.0,No votó,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
Mujer,27,"Menos de estudios primarios, no sabe leer",Católico no practicante,Funcionarios de nivel medio,,5.0,U.C.D,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
Hombre,40,Bachiller superior,Católico no practicante,Obreros cualificados,,6.0,P.S.O.E,Andalucía Occidental,100.001 a 400.000 habitantes,1.0
Hombre,67,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,5.0,U.C.D,Andalucía Occidental,100.001 a 400.000 habitantes,1.0
Hombre,54,Universitario o técnicos de grado superior,No creyente,,,6.0,P.S.O.E,Andalucía Occidental,100.001 a 400.000 habitantes,1.0
Hombre,18,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,5.0,U.C.D,Andalucía Occidental,2.001 a 10.000 habitantes,1.0
Hombre,49,"Menos de estudios primarios, no sabe leer",Católico no practicante,,,6.0,,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
Hombre,66,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Indiferente,,Profesional Liberal,3.0,U.C.D,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
Mujer,49,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,6.0,U.C.D,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
