P18,P20,P21,P22,P23A,P23B,P24_num,P25,P27,P28,P15_bin
Hombre,52,,Católico practicante,Obreros cualificados,,3.0,U.C.D,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
Hombre,27,Universitario o técnicos de grado superior,Católico practicante,Obreros cualificados,Profesional Liberal,,,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
Mujer,35,"Menos de estudios primarios, no sabe leer",,Funcionarios de nivel medio,,,No votó,Andalucía Occidental,10.001 a 50.000 habitantes,1.0
Hombre,48,,Católico no practicante,N.C,,,P.S.O.E,Aragón y Logroño,400.001 a 1.000.000 habitantes,1.0
Hombre,18,Universitario o técnicos de grado superior,,,Trabajador Independiente,,,Aragón y Logroño,400.001 a 1.000.000 habitantes,1.0
Hombre,37,Estudios de formación profesional,,Jornaleros del campo,,,,Aragón y Logroño,400.001 a 1.000.000 habitantes,1.0
Mujer,20,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,2.0,U.C.D,Aragón y Logroño,400.001 a 1.000.000 habitantes,1.0
Hombre,71,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Peones y obreros sin cualificar,,,P.S.O.E,Aragón y Logroño,400.001 a 1.000.000 habitantes,1.0
Mujer,34,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel medio,,7.0,No votó,Aragón y Logroño,400.001 a 1.000.000 habitantes,0.0
Hombre,45,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,5.0,P.S.O.E,Aragón y Logroño,400.001 a 1.000.000 habitantes,1.0
Hombre,60,Universitario o técnicos de grado superior,Católico practicante,,,3.0,P.S.O.E,Aragón y Logroño,400.001 a 1.000.000 habitantes,1.0
Mujer,47,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Oficiales de las Fuerzas Armadas,Trabajador Independiente,3.0,No votó,Aragón y Logroño,400.001 a 1.000.000 habitantes,1.0
Hombre,78,Estudios de grado medio,Católico no practicante,,,3.0,Otros,Aragón y Logroño,400.001 a 1.000.000 habitantes,1.0
Hombre,38,Estudios primarios completos. cultural general,Indiferente,Peones y obreros sin cualificar,,7.0,U.C.D,Aragón y Logroño,400.001 a 1.000.000 habitantes,1.0
Hombre,27,Bachiller superior,Católico no practicante,Peones y obreros sin cualificar,Industrial comercial,4.0,Otros,Aragón y Logroño,400.001 a 1.000.000 habitantes,1.0
Hombre,59,Universitario o técnicos de grado superior,Católico practicante,Jornaleros del campo,,9.0,,Aragón y Logroño,400.001 a 1.000.000 habitantes,1.0
Hombre,52,Estudios primarios completos. cultural general,Católico practicante,,,,,Castilla la Nueva y Extremadura,400.001 a 1.000.000 habitantes,1.0
Hombre,23,Universitario o técnicos de grado superior,Católico practicante,,,4.0,,Aragón y Logroño,10.001 a 50.000 habitantes,0.0
Hombre,47,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,3.0,,Aragón y Logroño,10.001 a 50.000 habitantes,1.0
Mujer,49,Estudios primarios completos. cultural general,Católico practicante,"Vendedores, Agentes Comerciales, etc...",Agricultor/Propietario,7.0,,Aragón y Logroño,10.001 a 50.000 habitantes,1.0
Hombre,29,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,Agricultor/Propietario,,U.C.D,Aragón y Logroño,10.001 a 50.000 habitantes,1.0
Hombre,53,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Indiferente,Funcionarios de nivel medio,Empresario agrario,,,País Vasco,Menos o igual a 2.000 habitantes,1.0
Hombre,32,Estudios primarios completos. cultural general,Indiferente,,Profesional Liberal,5.0,P.S.O.E,País Vasco,100.001 a 400.000 habitantes,0.0
Hombre,28,Estudios de formación profesional,Indiferente,,,5.0,A.P,País Vasco,100.001 a 400.000 habitantes,1.0
Hombre,30,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,,,6.0,,País Vasco,100.001 a 400.000 habitantes,1.0
Hombre,38,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,Industrial comercial,8.0,,País Vasco,100.001 a 400.000 habitantes,1.0
Mujer,45,"Menos de estudios primarios, sabe leer (menos de 6 años de e",,,Industrial comercial,,U.C.D,País Vasco,100.001 a 400.000 habitantes,0.0
Mujer,20,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,N.C,,4.0,No votó,País Vasco,100.001 a 400.000 habitantes,0.0
Hombre,63,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,2.0,P.S.O.E,Castilla la Vieja y León,2.001 a 10.000 habitantes,1.0
Hombre,32,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel medio,Trabajador Independiente,6.0,P.S.O.E,Castilla la Vieja y León,2.001 a 10.000 habitantes,1.0
Hombre,50,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel medio,,1.0,,Castilla la Vieja y León,2.001 a 10.000 habitantes,1.0
Hombre,24,Estudios primarios completos. cultural general,,Funcionarios de nivel medio,,5.0,P.C.E.,Castilla la Vieja y León,2.001 a 10.000 habitantes,1.0
Hombre,24,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,9.0,No votó,País Vasco,400.001 a 1.000.000 habitantes,1.0
Hombre,19,Estudios primarios completos. cultural general,Católico no practicante,"Director de empresa, directivos",,4.0,P.S.O.E,País Vasco,400.001 a 1.000.000 habitantes,1.0
Hombre,57,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Empleados a nivel superior,,6.0,,País Vasco,400.001 a 1.000.000 habitantes,1.0
Mujer,39,Bachiller superior,Católico practicante,Obreros cualificados,,3.0,P.S.O.E,País Vasco,400.001 a 1.000.000 habitantes,1.0
Hombre,77,Estudios de grado medio,Católico practicante,Obreros cualificados,,3.0,P.N.V.,País Vasco,400.001 a 1.000.000 habitantes,1.0
Hombre,24,Estudios primarios completos. cultural general,Católico practicante,Obreros cualificados,,7.0,U.C.D,País Vasco,400.001 a 1.000.000 habitantes,0.0
Hombre,37,"Menos de estudios primarios, no sabe leer",Católico no practicante,,,9.0,U.C.D,País Vasco,400.001 a 1.000.000 habitantes,1.0
Mujer,57,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,,P.N.V.,País Vasco,400.001 a 1.000.000 habitantes,1.0
Hombre,46,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel medio,,8.0,,País Vasco,400.001 a 1.000.000 habitantes,1.0
Hombre,45,Bachiller elemental,Católico practicante,Funcionarios de nivel medio,,4.0,P.S.O.E,País Vasco,10.001 a 50.000 habitantes,1.0
Hombre,24,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel medio,,4.0,P.N.V.,País Vasco,10.001 a 50.000 habitantes,1.0
Mujer,23,Estudios primarios completos. cultural general,Católico practicante,Obreros cualificados,,5.0,No votó,País Vasco,10.001 a 50.000 habitantes,0.0
Hombre,20,Bachiller superior,Católico no practicante,,,7.0,No votó,País Vasco,10.001 a 50.000 habitantes,0.0
Mujer,28,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Empleados subalternos,,7.0,No votó,Castilla la Vieja y León,10.001 a 50.000 habitantes,0.0
Mujer,23,Bachiller elemental,Católico practicante,Funcionarios de nivel medio,,6.0,No votó,Castilla la Vieja y León,10.001 a 50.000 habitantes,1.0
Hombre,29,Estudios primarios completos. cultural general,Católico no practicante,,,5.0,P.S.O.E,Castilla la Vieja y León,10.001 a 50.000 habitantes,1.0
Mujer,55,Estudios de grado medio,Católico practicante,,,9.0,No votó,Castilla la Vieja y León,10.001 a 50.000 habitantes,1.0
Mujer,25,Estudios primarios completos. cultural general,Católico practicante,Peones y obreros sin cualificar,,3.0,U.C.D,Castilla la Vieja y León,10.001 a 50.000 habitantes,1.0
Hombre,77,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel medio,,6.0,No votó,Castilla la Vieja y León,10.001 a 50.000 habitantes,1.0
Hombre,48,"Menos de estudios primarios, no sabe leer",Católico practicante,,,3.0,P.S.O.E,Castilla la Vieja y León,10.001 a 50.000 habitantes,1.0
Hombre,44,Estudios de formación profesional,Católico practicante,,,9.0,No votó,Castilla la Vieja y León,10.001 a 50.000 habitantes,1.0
Hombre,29,"Menos de estudios primarios, no sabe leer",Católico practicante,,,8.0,P.N.V.,País Vasco,10.001 a 50.000 habitantes,1.0
Hombre,56,Universitario o técnicos de grado superior,Católico practicante,N.C,Trabajador Independiente,6.0,No votó,País Vasco,10.001 a 50.000 habitantes,1.0
Mujer,23,Bachiller superior,Católico practicante,Peones y obreros sin cualificar,,5.0,No votó,País Vasco,10.001 a 50.000 habitantes,1.0
Mujer,29,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,5.0,P.N.V.,País Vasco,10.001 a 50.000 habitantes,1.0
Hombre,19,Estudios primarios completos. cultural general,Católico practicante,Peones y obreros sin cualificar,,6.0,No votó,País Vasco,10.001 a 50.000 habitantes,0.0
Mujer,42,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,6.0,No votó,País Vasco,10.001 a 50.000 habitantes,1.0
Mujer,20,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,Trabajador Independiente,5.0,,País Vasco,10.001 a 50.000 habitantes,0.0
Mujer,34,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,Industrial comercial,,P.S.O.E,País Vasco,10.001 a 50.000 habitantes,1.0
Hombre,27,Estudios primarios completos. cultural general,Indiferente,,,5.0,Otros,País Vasco,2.001 a 10.000 habitantes,1.0
Hombre,39,Estudios primarios completos. cultural general,Indiferente,Funcionarios de nivel medio,,3.0,No votó,País Vasco,2.001 a 10.000 habitantes,1.0
Hombre,21,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,,4.0,No votó,País Vasco,2.001 a 10.000 habitantes,1.0
Hombre,32,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,4.0,A.P,País Vasco,2.001 a 10.000 habitantes,1.0
Hombre,54,Universitario o técnicos de grado superior,Católico practicante,Jornaleros del campo,,4.0,U.C.D,País Vasco,2.001 a 10.000 habitantes,1.0
Mujer,35,Estudios de grado medio,No creyente,,,,Otros,Aragón y Logroño,50.001 a 100.000 habitantes,1.0
Hombre,24,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,Profesional Liberal,7.0,U.C.D,Aragón y Logroño,50.001 a 100.000 habitantes,1.0
Hombre,53,Estudios primarios completos. cultural general,Indiferente,N.C,,5.0,U.C.D,Aragón y Logroño,50.001 a 100.000 habitantes,1.0
Hombre,19,Estudios primarios completos. cultural general,Católico practicante,Peones y obreros sin cualificar,,6.0,,Aragón y Logroño,2.001 a 10.000 habitantes,1.0
Mujer,56,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Jornaleros del campo,,,,Aragón y Logroño,2.001 a 10.000 habitantes,1.0
Hombre,77,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,,U.C.D,Aragón y Logroño,2.001 a 10.000 habitantes,1.0
Hombre,36,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,,,Aragón y Logroño,2.001 a 10.000 habitantes,1.0
Hombre,27,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,5.0,U.C.D,Aragón y Logroño,2.001 a 10.000 habitantes,1.0
Mujer,58,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Empleados subalternos,Agricultor/Propietario,,,Aragón y Logroño,2.001 a 10.000 habitantes,1.0
Hombre,46,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel medio,,,No votó,Aragón y Logroño,Menos o igual a 2.000 habitantes,1.0
Mujer,48,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,6.0,P.C.E.,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Mujer,60,Estudios de formación profesional,Católico practicante,Peones y obreros sin cualificar,,6.0,P.S.O.E,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Hombre,21,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Funcionarios de nivel medio,,5.0,P.C.E.,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Mujer,29,Bachiller elemental,Católico practicante,Obreros cualificados,,4.0,U.C.D,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Mujer,55,Bachiller elemental,Católico practicante,Funcionarios de nivel medio,,7.0,P.C.E.,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Mujer,29,Estudios de grado medio,Católico no practicante,,,,,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Hombre,41,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,N.C,,6.0,P.C.E.,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Mujer,55,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,6.0,P.S.O.E,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Mujer,47,Estudios de grado medio,Católico no practicante,,,5.0,P.S.O.E,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Hombre,22,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,"Capataces, encargados, contramaestres",Industrial comercial,6.0,No votó,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Mujer,66,Estudios primarios completos. cultural general,,,,8.0,F.D.C.,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Hombre,42,Estudios primarios completos. cultural general,,,Profesional Liberal,,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,21,Estudios primarios completos. cultural general,Católico practicante,"Vendedores, Agentes Comerciales, etc...",Profesional Liberal,,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,0.0
Hombre,43,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,"Vendedores, Agentes Comerciales, etc...",,,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,57,Universitario o técnicos de grado superior,Católico practicante,,,,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Mujer,21,Bachiller superior,Católico practicante,,Industrial comercial,,P.S.O.E,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Mujer,21,Bachiller superior,Católico practicante,,,,A.P,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Mujer,51,Estudios primarios completos. cultural general,Católico no practicante,,Industrial comercial,1.0,No votó,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,70,Universitario o técnicos de grado superior,Católico practicante,,Profesional Liberal,5.0,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,49,Estudios de formación profesional,Católico practicante,,,7.0,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,63,"Menos de estudios primarios, sabe leer (menos de 6 años de e",,Funcionarios de nivel alto (titulación superior),Profesional Liberal,,P.S.O.E,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,60,Bachiller superior,Católico practicante,Obreros cualificados,,,U.C.D,Galicia y Asturias,Menos o igual a 2.000 habitantes,1.0
Hombre,54,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,5.0,U.C.D,Galicia y Asturias,Menos o igual a 2.000 habitantes,1.0
Hombre,24,Estudios primarios completos. cultural general,Católico practicante,,,,No votó,Galicia y Asturias,Menos o igual a 2.000 habitantes,1.0
Hombre,33,Estudios de grado medio,Católico practicante,Funcionarios de nivel medio,Agricultor/Propietario,4.0,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,76,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel medio,Trabajador Independiente,5.0,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,60,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,5.0,,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Mujer,21,Bachiller superior,Católico practicante,N.C,,7.0,P.S.O.E,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Mujer,48,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,"Vendedores, Agentes Comerciales, etc...",Industrial comercial,3.0,U.C.D,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,33,Universitario o técnicos de grado superior,Católico practicante,,,4.0,No votó,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,30,Estudios primarios completos. cultural general,Católico practicante,,,6.0,U.C.D,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,69,Estudios primarios completos. cultural general,Católico practicante,,Trabajador Independiente,5.0,U.C.D,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,47,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel medio,Agricultor/Propietario,5.0,P.C.E.,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,28,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,Agricultor/Propietario,4.0,P.S.O.E,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,41,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,6.0,P.N.V.,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,22,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,,6.0,D.C,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,36,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,Industrial comercial,4.0,No votó,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,28,Estudios primarios completos. cultural general,Católico practicante,,,,No votó,Galicia y Asturias,2.001 a 10.000 habitantes,0.0
Hombre,21,Estudios primarios completos. cultural general,Católico practicante,Peones y obreros sin cualificar,,,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Mujer,52,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,,5.0,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,0.0
Hombre,54,Estudios de grado medio,Católico practicante,Funcionarios de nivel medio,,1.0,No votó,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,43,Universitario o técnicos de grado superior,Católico practicante,,,4.0,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,27,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel medio,,,P.S.O.E,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Mujer,28,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Personal manual de servicios no cualificados,,8.0,U.C.D,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Hombre,52,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,7.0,P.S.O.E,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Mujer,44,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,6.0,No votó,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Hombre,45,Bachiller superior,Católico practicante,,,5.0,U.C.D,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Mujer,75,Estudios primarios completos. cultural general,Indiferente,,,2.0,U.C.D,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Mujer,49,Estudios primarios completos. cultural general,No creyente,Funcionarios de nivel medio,Industrial comercial,8.0,U.C.D,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Mujer,48,Bachiller elemental,Católico no practicante,Empleados subalternos,,5.0,,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Hombre,34,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Empleados a nivel superior,,3.0,U.C.D,Galicia y Asturias,100.001 a 400.000 habitantes,0.0
Mujer,69,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,,,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,53,Estudios primarios completos. cultural general,Católico practicante,Jornaleros del campo,,,U.C.D,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,45,Universitario o técnicos de grado superior,Católico practicante,N.C,,5.0,U.C.D,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,67,Estudios primarios completos. cultural general,Católico no practicante,,,4.0,U.C.D,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,33,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,3.0,U.C.D,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,64,Estudios de grado medio,Católico practicante,,,7.0,,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,50,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel medio,,6.0,,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,25,Estudios de formación profesional,Católico no practicante,,,8.0,A.P,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Hombre,58,Bachiller elemental,Católico practicante,Empleados subalternos,Agricultor/Propietario,6.0,U.C.D,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Hombre,22,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Empleados subalternos,,,,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Hombre,26,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,,A.P,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
