Ticker,AAPL,AMZN,BAC,GOOGL,HD,INTC,JNJ,JPM,KO,MA,MRK,MSFT,NVDA,PEP,PFE,PG,T,V,WMT,XOM
AAPL,3.442724485329828e-05,1.349834254326545e-05,4.508220364571244e-06,1.538359842956092e-05,5.371915369194155e-06,1.164047821885738e-05,-3.01539107410562e-07,1.4629702358481452e-06,4.4158506033098014e-07,3.999998975987949e-06,3.4767247364072793e-06,1.2892664541105053e-05,1.9754695291319413e-05,1.2551914784733869e-06,3.853995904398563e-06,-3.116359928374481e-07,-6.167145554644573e-07,4.348554657896932e-06,2.1571080799075266e-06,-8.568447420053114e-07
AMZN,1.349834254326545e-05,5.17411947181826e-05,1.1138955712852369e-05,2.362799964861859e-05,7.829100210097706e-06,4.052567133908581e-05,-2.3514034378014792e-06,9.825530966244598e-06,-1.0717716339435201e-06,7.65873599251365e-06,-6.406825553373024e-08,2.2835336216730825e-05,3.9505491045700116e-05,-2.165494483304602e-06,2.0549385617936053e-07,-1.5714838167787253e-06,-3.583370938088446e-06,8.041076283385719e-06,5.001989836384064e-06,5.997620094928668e-07
BAC,4.508220364571244e-06,1.1138955712852369e-05,3.430907961040937e-05,6.56115374655662e-06,1.0031781235788906e-05,2.1784642149323655e-05,4.642069597421419e-06,2.2478746973167007e-05,2.4072880268003366e-06,8.407828602746991e-06,2.73747238813139e-06,5.991995196616593e-06,9.956037723769742e-06,1.8579367415459454e-06,5.974907424978908e-06,1.6847146378853694e-06,7.76688270712817e-06,8.673896965208737e-06,4.0997166535843825e-06,9.312250239591523e-06
GOOGL,1.538359842956092e-05,2.362799964861859e-05,6.56115374655662e-06,4.910848378876903e-05,3.148959703520682e-06,1.6067886320383972e-05,-8.972933578792618e-07,5.488089421255723e-06,-4.563329136298622e-07,5.950946475272768e-06,8.362015380050084e-07,1.8601892146634238e-05,2.7545725066582696e-05,5.322471080675737e-07,4.970222238973452e-07,-4.19426871756127e-07,-3.35456475739155e-06,8.21473643113484e-06,2.033291419982401e-06,-2.1700873514744513e-06
HD,5.371915369194155e-06,7.829100210097706e-06,1.0031781235788906e-05,3.148959703520682e-06,2.417022851145383e-05,1.4392381483893012e-05,3.5672512192563663e-06,4.89002057255657e-06,3.67593377850897e-06,5.380235438209488e-06,1.7266851162471106e-06,5.436766238344725e-06,8.312624886816631e-06,3.51089346493277e-06,5.631919689975321e-06,3.533247619144066e-06,3.864549117299235e-06,5.152919130503341e-06,3.1611358631677755e-06,3.496700837687005e-06
INTC,1.164047821885738e-05,4.052567133908581e-05,2.1784642149323655e-05,1.6067886320383972e-05,1.4392381483893012e-05,0.0001631397782237611,1.0275055992410999e-06,1.8624862891823366e-05,-1.6030583360520328e-06,6.841339943277016e-06,2.018969901242166e-07,1.8175988827191486e-05,4.5796862551233495e-05,7.444506829896084e-07,1.0023643529830202e-05,6.294034829299286e-07,-1.0181684871548622e-06,8.683127232908574e-06,2.822395626837586e-06,7.719496196850879e-06
JNJ,-3.01539107410562e-07,-2.3514034378014792e-06,4.642069597421419e-06,-8.972933578792618e-07,3.5672512192563663e-06,1.0275055992410999e-06,1.2814844197863825e-05,4.175664918953307e-06,4.36734859405587e-06,3.0877289320385417e-06,4.552401291198359e-06,-2.2747605922472763e-07,-1.2930329966184326e-05,5.011108332140415e-06,8.487643842847016e-06,3.934647531782335e-06,5.378825853917203e-06,2.9044908486621135e-06,2.0990644623846944e-06,3.1959615699852016e-06
JPM,1.4629702358481452e-06,9.825530966244598e-06,2.2478746973167007e-05,5.488089421255723e-06,4.89002057255657e-06,1.8624862891823366e-05,4.175664918953307e-06,2.9415975899042128e-05,1.284380714918488e-06,8.763696347105333e-06,2.336718269188552e-06,5.107166198727297e-06,8.227066460887626e-06,5.324598072595473e-07,3.1596190051278626e-06,1.2072203742196516e-06,5.708741433860407e-06,8.69509739011114e-06,3.910468579188846e-06,7.8957718833301e-06
KO,4.4158506033098014e-07,-1.0717716339435201e-06,2.4072880268003366e-06,-4.563329136298622e-07,3.67593377850897e-06,-1.6030583360520328e-06,4.36734859405587e-06,1.284380714918488e-06,1.0293753360774384e-05,3.3071572259544816e-06,3.765330074871235e-06,4.011274057365185e-07,-9.13248415272433e-06,7.785718690970388e-06,5.796807307102644e-06,5.487127623855706e-06,4.3027871654018905e-06,2.7982787080163717e-06,4.434888542507256e-06,2.2206147882462967e-06
MA,3.999998975987949e-06,7.65873599251365e-06,8.407828602746991e-06,5.950946475272768e-06,5.380235438209488e-06,6.841339943277016e-06,3.0877289320385417e-06,8.763696347105333e-06,3.3071572259544816e-06,1.594657248300956e-05,2.330687081300104e-06,7.2273178088675706e-06,8.9755163089702e-06,3.154280459572417e-06,2.154916111548487e-06,2.963025304095559e-06,3.7740282195423092e-06,1.2092637576602525e-05,3.339518171911196e-06,4.413306150047515e-06
MRK,3.4767247364072793e-06,-6.406825553373024e-08,2.73747238813139e-06,8.362015380050084e-07,1.7266851162471106e-06,2.018969901242166e-07,4.552401291198359e-06,2.336718269188552e-06,3.765330074871235e-06,2.330687081300104e-06,2.5710533844996942e-05,1.6788094191163452e-06,-1.3033647647743018e-06,3.877735603961377e-06,8.55843851229375e-06,6.75037877347356e-06,4.640916673682122e-06,1.4275748889128661e-06,1.5693245711430755e-06,1.2526927406097712e-06
MSFT,1.2892664541105053e-05,2.2835336216730825e-05,5.991995196616593e-06,1.8601892146634238e-05,5.436766238344725e-06,1.8175988827191486e-05,-2.2747605922472763e-07,5.107166198727297e-06,4.011274057365185e-07,7.2273178088675706e-06,1.6788094191163452e-06,2.5869429128679754e-05,2.6427965876986197e-05,4.478914203118585e-07,1.2642447947454502e-06,9.284746058260596e-07,-2.335636263019295e-06,6.866136083863486e-06,3.7818915363159454e-06,-1.323213104628655e-06
NVDA,1.9754695291319413e-05,3.9505491045700116e-05,9.956037723769742e-06,2.7545725066582696e-05,8.312624886816631e-06,4.5796862551233495e-05,-1.2930329966184326e-05,8.227066460887626e-06,-9.13248415272433e-06,8.9755163089702e-06,-1.3033647647743018e-06,2.6427965876986197e-05,0.0001473656618954958,-1.0275677706429296e-05,-8.647520806864744e-06,-8.413914973777485e-06,-1.1383769045560257e-05,8.108122642322028e-06,-2.8837381198281533e-07,-2.4320981627815394e-06
PEP,1.2551914784733869e-06,-2.165494483304602e-06,1.8579367415459454e-06,5.322471080675737e-07,3.51089346493277e-06,7.444506829896084e-07,5.011108332140415e-06,5.324598072595473e-07,7.785718690970388e-06,3.154280459572417e-06,3.877735603961377e-06,4.478914203118585e-07,-1.0275677706429296e-05,1.6431929322304412e-05,7.20646484393105e-06,6.19369624739253e-06,4.620986843010539e-06,2.9918472130353327e-06,4.3442870277147185e-06,2.747998552700586e-06
PFE,3.853995904398563e-06,2.0549385617936053e-07,5.974907424978908e-06,4.970222238973452e-07,5.631919689975321e-06,1.0023643529830202e-05,8.487643842847016e-06,3.1596190051278626e-06,5.796807307102644e-06,2.154916111548487e-06,8.55843851229375e-06,1.2642447947454502e-06,-8.647520806864744e-06,7.20646484393105e-06,3.131292898233128e-05,4.916451305168754e-06,6.340370358960579e-06,2.2884098947063718e-06,1.4090049038000123e-06,3.990692059603332e-06
PG,-3.116359928374481e-07,-1.5714838167787253e-06,1.6847146378853694e-06,-4.19426871756127e-07,3.533247619144066e-06,6.294034829299286e-07,3.934647531782335e-06,1.2072203742196516e-06,5.487127623855706e-06,2.963025304095559e-06,6.75037877347356e-06,9.284746058260596e-07,-8.413914973777485e-06,6.19369624739253e-06,4.916451305168754e-06,1.3868048082648628e-05,4.946012737222587e-06,2.892950267597313e-06,4.596647451440839e-06,1.1073742621679044e-06
T,-6.167145554644573e-07,-3.583370938088446e-06,7.76688270712817e-06,-3.35456475739155e-06,3.864549117299235e-06,-1.0181684871548622e-06,5.378825853917203e-06,5.708741433860407e-06,4.3027871654018905e-06,3.7740282195423092e-06,4.640916673682122e-06,-2.335636263019295e-06,-1.1383769045560257e-05,4.620986843010539e-06,6.340370358960579e-06,4.946012737222587e-06,2.466376685044638e-05,2.646672867623515e-06,2.0818784268992735e-06,4.3094107676194966e-06
V,4.348554657896932e-06,8.041076283385719e-06,8.673896965208737e-06,8.21473643113484e-06,5.152919130503341e-06,8.683127232908574e-06,2.9044908486621135e-06,8.69509739011114e-06,2.7982787080163717e-06,1.2092637576602525e-05,1.4275748889128661e-06,6.866136083863486e-06,8.108122642322028e-06,2.9918472130353327e-06,2.2884098947063718e-06,2.892950267597313e-06,2.646672867623515e-06,1.6872656978661364e-05,3.231486444475745e-06,3.374351086417979e-06
WMT,2.1571080799075266e-06,5.001989836384064e-06,4.0997166535843825e-06,2.033291419982401e-06,3.1611358631677755e-06,2.822395626837586e-06,2.0990644623846944e-06,3.910468579188846e-06,4.434888542507256e-06,3.339518171911196e-06,1.5693245711430755e-06,3.7818915363159454e-06,-2.8837381198281533e-07,4.3442870277147185e-06,1.4090049038000123e-06,4.596647451440839e-06,2.0818784268992735e-06,3.231486444475745e-06,2.0178650217135927e-05,1.344816575373601e-06
XOM,-8.568447420053114e-07,5.997620094928668e-07,9.312250239591523e-06,-2.1700873514744513e-06,3.496700837687005e-06,7.719496196850879e-06,3.1959615699852016e-06,7.8957718833301e-06,2.2206147882462967e-06,4.413306150047515e-06,1.2526927406097712e-06,-1.323213104628655e-06,-2.4320981627815394e-06,2.747998552700586e-06,3.990692059603332e-06,1.1073742621679044e-06,4.3094107676194966e-06,3.374351086417979e-06,1.344816575373601e-06,2.4469592716431077e-05
